ev,measured spectrum,ev,retrived spectrum,ev,retrived spectrum dipole corrected,retrived spectrum phase dipole corrected
21.565,0,27.36543,-0.0090859496124031,27.4,1.616E-4,--
22.565,0,27.618294,-0.00908556201550388,27.65,1.617E-4,--
23.565,0,27.871158,-0.00908507751937985,27.91,1.617E-4,--
24.565,0,28.124022,-0.00908459302325581,28.16,1.624E-4,--
25.565,0,28.376886,-0.00908410852713178,28.41,1.631E-4,--
26.565,0,28.62975,-0.00908372093023256,28.66,1.639E-4,--
27.565,0,28.882614,-0.00908323643410853,28.92,1.647E-4,--
28.565,0,29.135478,-0.0090827519379845,29.17,1.654E-4,--
29.565,0,29.388342,-0.00908236434108527,29.42,1.663E-4,--
30.565,0,29.641206,-0.00908197674418605,29.68,1.672E-4,--
31.565,0,29.89407,-0.00908149224806202,29.93,1.684E-4,--
32.565,0,30.146934,-0.00908110465116279,30.18,1.698E-4,--
33.565,0,30.399798,-0.00908081395348837,30.43,1.711E-4,--
34.565,0,30.652662,-0.00908042635658915,30.69,1.725E-4,--
35.565,0,30.905526,-0.00908013565891473,30.94,1.729E-4,--
36.565,0,31.15839,-0.00907984496124031,31.19,1.73E-4,--
37.565,0,31.411254,-0.0090796511627907,31.45,1.73E-4,--
38.565,0,31.664118,-0.00907945736434109,31.7,1.73E-4,--
39.565,0,31.916982,-0.00907936046511628,31.95,1.729E-4,--
40.565,0,32.169846,-0.00907926356589147,32.2,1.729E-4,--
41.565,0,32.42271,-0.00907926356589147,32.46,1.728E-4,--
42.565,0,32.675574,-0.00907936046511628,32.71,1.727E-4,--
43.565,0,32.928438,-0.00907955426356589,32.96,1.726E-4,--
44.565,0,33.181302,-0.0090797480620155,33.22,1.725E-4,--
45.565,0,33.434166,-0.00908013565891473,33.47,1.725E-4,--
46.565,0,33.68703,-0.00908052325581395,33.72,1.726E-4,--
47.565,0,33.939894,-0.00908110465116279,33.97,1.726E-4,--
48.565,0,34.192758,-0.00908178294573643,34.23,1.727E-4,--
49.565,0,34.445622,-0.00908265503875969,34.48,1.727E-4,--
50.565,0,34.698486,-0.00908362403100775,34.73,1.727E-4,--
51.565,0,34.95135,-0.00908468992248062,34.99,1.727E-4,--
52.565,0,35.204214,-0.0090859496124031,35.24,1.727E-4,--
53.565,0,35.457078,-0.00908740310077519,35.49,1.726E-4,--
54.565,0,35.709942,-0.0090890503875969,35.74,1.725E-4,--
55.565,0,35.962806,-0.00909089147286822,36,1.724E-4,--
56.565,0,36.21567,-0.00909302325581395,36.25,1.721E-4,--
57.565,0,36.468534,-0.0090952519379845,36.5,1.719E-4,--
58.565,0,36.721398,-0.00909777131782946,36.76,1.716E-4,--
59.565,0,36.974262,-0.00910048449612403,37.01,1.712E-4,--
60.565,0,37.227126,-0.00910348837209302,37.26,1.707E-4,--
61.565,0,37.47999,-0.00910678294573643,37.51,1.702E-4,--
62.565,0,37.732854,-0.00911036821705426,37.77,1.697E-4,--
63.565,0,37.985718,-0.00911434108527132,38.02,1.69E-4,--
64.565,0,38.238582,-0.00911850775193799,38.27,1.683E-4,--
65.565,0,38.491446,-0.00912306201550388,38.53,1.676E-4,--
66.565,0,38.74431,-0.00912790697674419,38.78,1.668E-4,--
67.565,0,38.997174,-0.00913323643410853,39.03,1.659E-4,--
68.565,0,39.250038,-0.00913885658914729,39.29,1.649E-4,--
69.565,0,39.502902,-0.00914486434108527,39.54,1.639E-4,--
70.565,0,39.755766,-0.00915135658914729,39.79,1.629E-4,--
71.565,0,40.00863,-0.00915823643410853,40.04,1.621E-4,--
72.565,0,40.261494,-0.00916550387596899,40.3,1.612E-4,--
73.565,0,40.514358,-0.0091733527131783,40.55,1.602E-4,--
74.565,0,40.767222,-0.00918158914728682,40.8,1.591E-4,--
75.565,0,41.020086,-0.00919040697674419,41.06,1.579E-4,--
76.565,0,41.27295,-0.00919970930232558,41.31,1.565E-4,--
77.565,0,41.525814,-0.00920949612403101,41.56,1.551E-4,--
78.565,0,41.778678,-0.00921996124031008,41.81,1.537E-4,--
79.565,0,42.031542,-0.00923091085271318,42.07,1.524E-4,--
80.565,0,42.284406,-0.00924253875968992,42.32,1.51E-4,--
81.565,0,42.53727,-0.0092547480620155,42.57,1.495E-4,--
82.565,0,42.790134,-0.00926753875968992,42.83,1.477E-4,--
83.565,0,43.042998,-0.00928100775193798,43.08,1.459E-4,--
84.565,0,43.295862,-0.00929515503875969,43.33,1.437E-4,--
85.565,0,43.548726,-0.00931007751937984,43.58,1.413E-4,--
86.565,0,43.80159,-0.00932567829457364,43.84,1.387E-4,--
87.565,0,44.054454,-0.00934195736434108,44.09,1.358E-4,50.44
88.565,0,44.307318,-0.00935901162790698,44.34,1.326E-4,50.3
89.565,0,44.560182,-0.00937693798449612,44.6,1.293E-4,50.16
90.565,0,44.813046,-0.00939554263565891,44.85,1.258E-4,50.02
91.565,0,45.06591,-0.00941511627906977,45.1,1.22E-4,49.88
92.565,6.31587258951027E-4,45.318774,-0.00943536821705426,45.35,1.181E-4,49.74
93.565,1.98030142416927E-4,45.571638,-0.00945658914728682,45.61,1.14E-4,49.6
94.565,4.40148356481409E-4,45.824502,-0.00947868217054264,45.86,1.097E-4,49.46
95.565,6.79776546565797E-4,46.077366,-0.00950174418604651,46.11,1.051E-4,49.32
96.565,0.00146398762829673,46.33023,-0.00952567829457364,46.37,1.003E-4,49.28
97.565,0.00109334023525973,46.583094,-0.00955048449612403,46.62,9.532E-5,49.1399999999999
98.565,0.00275748184995641,46.835958,-0.00957635658914729,46.87,9.003E-5,49
99.565,0,47.088822,-0.00960329457364341,47.12,8.45E-5,48.86
100.565,0.00471390833831654,47.341686,-0.00963110465116279,47.38,7.875E-5,48.72
101.565,0.018755959158063,47.59455,-0.00966007751937985,47.63,7.272E-5,48.58
102.565,0.0229937602641855,47.847414,-0.00969001937984496,47.88,6.646E-5,48.4399999999999
103.565,0.048019526568127,48.100278,-0.00972102713178295,48.14,5.995E-5,48.3
104.565,0.0439070322570027,48.353142,-0.0097531976744186,48.39,5.315E-5,48.16
105.565,0.0604678155686141,48.606006,-0.00978653100775194,48.64,4.607E-5,48.02
106.565,0.0812171121587421,48.85887,-0.00982093023255814,48.89,3.873E-5,47.88
107.565,0.0755765487198334,49.111734,-0.00985649224806202,49.15,3.109E-5,47.8399999999999
108.565,0.0825322842362285,49.364598,-0.00989331395348837,49.4,2.315E-5,47.7
109.565,0.119989861440789,49.617462,-0.00993125968992248,49.65,1.494E-5,47.56
110.565,0.0982414793466476,49.870326,-0.00997044573643411,49.91,6.429E-6,47.42
111.565,0.120278411278482,50.12319,-0.01,50.16,0,47.28
112.565,0.16463892084386,50.376054,-0.01,50.41,0,47.1399999999999
113.565,0.174047549688646,50.628918,-0.01,50.66,0,47
114.565,0.214278281247038,50.881782,-0.01,50.92,0,46.86
115.565,0.256818143866969,51.134646,-0.01,51.17,0,46.72
116.565,0.287999102977706,51.38751,-0.01,51.42,0,46.58
117.565,0.308024754657619,51.640374,-0.01,51.68,0,46.44
118.565,0.315858077154998,51.893238,-0.01,51.93,0,46.3
119.565,0.378419197294878,52.146102,-0.01,52.18,0,46.16
120.565,0.39792707045893,52.398966,-0.01,52.43,0,46.02
121.565,0.424404813687265,52.65183,-0.01,52.69,0,45.88
122.565,0.455883110955624,52.904694,-0.01,52.94,0,45.7399999999999
123.565,0.473324264216198,53.157558,-0.01,53.19,0,45.6
124.565,0.522992919019141,53.410422,-0.01,53.45,0,45.46
125.565,0.562100942706508,53.663286,-0.01,53.7,0,45.32
126.565,0.579640964566291,53.91615,-0.01,53.95,0,45.18
127.565,0.61750397626361,54.169014,-0.01,54.2,0,45.0399999999999
128.565,0.653916915172522,54.421878,-0.01,54.46,0,44.9
129.565,0.716123573075235,54.674742,-0.01,54.71,0,44.76
130.565,0.757999917540471,54.927606,-0.01,54.96,0,44.62
131.565,0.798960812013026,55.18047,-0.01,55.22,0,44.48
132.565,0.852752653583008,55.433334,-0.01,55.47,0,44.3399999999999
133.565,0.899806783206853,55.686198,-0.01,55.72,0,44.2
134.565,0.925454030201826,55.939062,-0.01,55.97,0,44.06
135.565,0.95810263874083,56.191926,-0.01,56.23,0,43.92
136.565,0.972412953026432,56.44479,-0.01,56.48,0,43.78
137.565,0.991615432072925,56.697654,-0.01,56.73,0,43.6399999999999
138.565,0.974302441811327,56.950518,-0.01,56.99,0,43.5
139.565,0.975188597404243,57.203382,-0.01,57.24,0,43.36
140.565,0.980315117363261,57.456246,-0.01,57.49,0,43.22
141.565,1.01286851910303,57.70911,-0.01,57.74,0,43.08
142.565,0.999627450408876,57.961974,-0.01,58,0,42.8399999999999
143.565,0.960233806323793,58.214838,-0.01,58.25,0,42.7
144.565,0.984584776129129,58.467702,-0.01,58.5,0,42.56
145.565,0.994852463247048,58.720566,-0.01,58.76,0,42.42
146.565,0.980293146563437,58.97343,-0.01,59.01,0,42.28
147.565,0.98116465495647,59.226294,-0.01,59.26,0,42.0399999999999
148.565,1.00465876356866,59.479158,-0.01,59.51,0,41.9
149.565,1.05978350032798,59.732022,-0.01,59.77,0,41.76
