ev	intensity	ev	intensity
0	0	2.39	1.75E-05
1	0	2.776	3.11E-05
2	0	3.162	4.46E-05
3	0	3.548	5.81E-05
4	0	3.934	7.16E-05
5	0	4.32	8.51E-05
6	0	4.706	9.86E-05
7	0	5.092	1.12E-04
8	0	5.478	1.26E-04
9	0	5.864	1.39E-04
10	0	6.25	1.53E-04
11	0	6.636	1.66E-04
12	0	7.022	1.79E-04
13	0	7.408	1.93E-04
14	0	7.794	2.06E-04
15	0	8.18	2.19E-04
16	0	8.566	2.33E-04
17	0	8.952	2.46E-04
18	0	9.338	2.59E-04
19	0	9.724	2.72E-04
20	0	10.11	2.85E-04
21	0	10.496	2.98E-04
22	0	10.882	3.11E-04
23	0	11.268	3.24E-04
24	0	11.654	3.36E-04
25	0	12.04	3.48E-04
26	0	12.426	3.61E-04
27	0	12.812	3.73E-04
28	0	13.198	3.84E-04
29	0	13.584	3.96E-04
30	0	13.97	4.07E-04
31	0	14.356	4.18E-04
32	0	14.742	4.29E-04
33	0	15.128	4.40E-04
34	0	15.514	4.49E-04
35	0	15.9	4.59E-04
36	0	16.286	4.68E-04
37	0	16.672	4.77E-04
38	0	17.058	4.86E-04
39	0	17.444	4.94E-04
40	0	17.83	5.01E-04
41	0	18.216	5.08E-04
42	0	18.602	5.14E-04
43	0	18.988	5.19E-04
44	0	19.374	5.24E-04
45	0	19.76	5.28E-04
46	0	20.146	5.31E-04
47	0	20.532	5.34E-04
48	0	20.918	5.35E-04
49	0	21.304	5.36E-04
50	0	21.69	5.35E-04
51	0	22.076	5.34E-04
52	0	22.462	5.31E-04
53	0	22.848	5.28E-04
54	0	23.234	5.23E-04
55	0	23.62	5.17E-04
56	0	24.006	5.09E-04
57	0	24.392	5.00E-04
58	0	24.778	4.90E-04
59	0	25.164	4.78E-04
60	0.0052	25.55	4.65E-04
61	0	25.936	4.50E-04
62	0	26.322	4.33E-04
63	0	26.708	4.15E-04
64	0	27.094	3.95E-04
65	0	27.48	3.72E-04
66	0.00606	27.866	3.48E-04
67	8.44E-04	28.252	3.22E-04
68	0.00177	28.638	2.94E-04
69	0.02085	29.024	2.63E-04
70	0	29.41	2.30E-04
71	0.01809	29.796	1.95E-04
72	0.01996	30.182	1.57E-04
73	0.00979	30.568	1.17E-04
74	0.01088	30.954	7.40E-05
75	0.01884	31.34	2.86E-05
76	0.03152	31.726	0
77	0.02991	32.112	0
78	0.0445	32.498	0
79	0.0474	32.884	0
80	0.06274	33.27	0
81	0.04982	33.656	0
82	0.08809	34.042	0
83	0.0859	34.428	0
84	0.1046	34.814	0
85	0.09024	35.2	0
86	0.10265	35.586	0
87	0.09503	35.972	0
88	0.09499	36.358	0
89	0.14124	36.744	0
90	0.11381	37.13	0
91	0.13186	37.516	0
92	0.13222	37.902	0
93	0.17029	38.288	0
94	0.18553	38.674	0
95	0.18261	39.06	0
96	0.20284	39.446	0
97	0.22295	39.832	0
98	0.2068	40.218	0
99	0.25463	40.604	0
100	0.23958	40.99	0
