Comments,,"Normalize to [0, 1] of B",,,,
1,2.39,1.75420206036508E-5,-455.8,0.2766,0.1018,-0.7605
2,2.776,3.10500632568227E-5,-455.4,0.365,0.1546,-0.7605
3,3.162,4.45689499367432E-5,-455,0.5585,0.1038,-0.7606
4,3.548,5.80697632387493E-5,-454.6,0.7278,0.1013,-0.7608
5,3.934,7.15705765407555E-5,-454.2,0.897,0.1002,-0.7611
6,4.32,8.50894632206759E-5,-453.9,1.066,0.09963,-0.7615
7,4.706,9.85902765226821E-5,-453.5,1.235,0.09925,-0.7621
8,5.092,1.12073016446774E-4,-453.1,1.405,0.09898,-0.763
9,5.478,1.2557382974878E-4,-452.7,1.574,0.09876,-0.764
10,5.864,1.39056569672872E-4,-452.3,1.742,0.09857,-0.7654
11,6.25,1.52521236219049E-4,-452,1.911,0.09837,-0.767
12,6.636,1.65967829387312E-4,-451.6,2.079,0.09816,-0.7689
13,7.022,1.79378275799747E-4,-451.2,2.248,0.09793,-0.7712
14,7.408,1.92842942345924E-4,-450.8,2.415,0.09767,-0.7738
15,7.794,2.0621724200253E-4,-450.4,2.583,0.09737,-0.7768
16,8.18,2.19410807879993E-4,-450,2.749,0.09702,-0.7802
17,8.566,2.32785107536599E-4,-449.7,2.916,0.09663,-0.784
18,8.952,2.45978673414061E-4,-449.3,3.081,0.09617,-0.7883
19,9.338,2.59172239291524E-4,-448.9,3.246,0.09565,-0.793
20,9.724,2.72185071389843E-4,-448.5,3.409,0.09506,-0.7982
21,10.11,2.85197903488162E-4,-448.1,3.572,0.09439,-0.804
22,10.496,2.98030001807338E-4,-447.7,3.733,0.09363,-0.8103
23,10.882,3.10862100126514E-4,-447.4,3.893,0.09279,-0.8172
24,11.268,3.23513464666546E-4,-447,4.051,0.09184,-0.8247
25,11.654,3.35984095427435E-4,-446.6,4.208,0.09079,-0.8329
26,12.04,3.48454726188325E-4,-446.2,4.363,0.08962,-0.8418
27,12.426,3.60563889390927E-4,-445.8,4.515,0.08834,-0.8514
28,12.812,3.7267305259353E-4,-445.4,4.665,0.08692,-0.8618
29,13.198,3.84420748237846E-4,-445,4.812,0.08537,-0.8731
30,13.584,3.95987710103018E-4,-444.6,4.957,0.08368,-0.8854
31,13.97,4.07193204409904E-4,-444.2,5.098,0.08184,-0.8988
32,14.356,4.1839869871679E-4,-443.8,5.236,0.07984,-0.9133
33,14.742,4.29061991686246E-4,-443.4,5.37,0.07767,-0.9291
34,15.128,4.39544550876559E-4,-443,5.5,0.07533,-0.9465
35,15.514,4.49484908729441E-4,-442.6,5.625,0.07281,-0.9656
36,15.9,4.59244532803181E-4,-442.2,5.746,0.07011,-0.9867
37,16.286,4.6846195553949E-4,-441.8,5.861,0.06721,-1.01
38,16.672,4.77317910717513E-4,-441.4,5.971,0.06412,-1.037
39,17.058,4.85631664558106E-4,-441,6.075,0.06083,-1.066
40,17.444,4.93583950840412E-4,-440.6,6.173,0.05734,-1.101
41,17.83,5.00813302006145E-4,-440.2,6.264,0.05366,-1.14
42,18.216,5.07681185613591E-4,-439.8,6.347,0.0498,-1.187
43,18.602,5.13645400325321E-4,-439.3,6.423,0.04577,-1.243
44,18.988,5.19248147478764E-4,-438.9,6.491,0.04161,-1.312
45,19.374,5.2394722573649E-4,-438.5,6.549,0.03739,-1.399
46,19.76,5.27923368877643E-4,-438.1,6.599,0.03322,-1.511
47,20.146,5.31176576902223E-4,-437.6,6.638,0.02927,-1.66
48,20.532,5.33706849810229E-4,-437.2,6.667,0.02589,-1.859
49,20.918,5.35152720043376E-4,-436.8,6.685,0.02358,-2.117
